name,resource_type,description,learning objective 1,learning objective 2,learning objective 3,is_deprecated,hide_info,text,resource_file,grade_level,intended_use,license,license_link,license_other_notes,source,language,author,comments,creation_date,problem_type,solutions_hints_etc,collection,Custom
CheckPoint 2: Effective Spring Constant,CheckPoint problem,Calculate the effective spring constant for springs connected in series and in parallel,FNLHooke,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096542.sequence___7___MIT/rayyan/Physics801/Symbolic/Effective Spring Constant.problem____13
CheckPoint 3: Hooke's Law Spring Configurations,CheckPoint problem,Compare the streches of springs from the same material but displayed in different configurations,FNLHooke,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096542.sequence___5___MIT/rayyan/Physics801/Symbolic/Hooke's Law Forces.problem____0
Checkpoint 1: Two Men on a Rope,CheckPoint problem,Calculateæthe tension in the upper rope when two men are hanging on the same rope,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___5___MIT/rayyan/osu/05_Force and Motion I/hanging/hanging.problem____0
Checkpoint 2 : Two men on a Rope,CheckPoint problem,"Calculateæthe tension in the upper rope when two men are hanging on the same rope, but the bottom rope is cut",FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___6___MIT/rayyan/osu/05_Force and Motion I/hanging/hanging_1.problem____0
Checkpoint 3 : Two men on a Rope,CheckPoint problem,"Calculateæthe tension in the bottom rope when two men are hanging on the same rope, but the upper rope is cut",FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___7___MIT/rayyan/osu/05_Force and Motion I/hanging/hanging_2.problem____0
CheckPoint 4: Accelerating Block,CheckPoint problem,Block in an elevator - identify the forcesæfrom a given FBD ,FNLTension,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___16___MIT/rayyan/check_points/BK/BK19.problem____12
CheckPoint 4: Accelerating Block,CheckPoint problem,Block in an elevator - compare the magnitude of the forces shown in the FBD,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___16___MIT/rayyan/check_points/BK/BK19.problem____14
CheckPoint 5: Block going down,CheckPoint problem,Calculate theætension in the string for a block falling with constant speed.,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___17___MIT/rayyan/check_points/BK/BK21.problem____0
CheckPoint 6: Free Body Diagrams,CheckPoint problem,Identify the correct FBD for conical pendulum,FNLTension,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___18___MIT/rayyan/check_points/BK/BK4.problem____0
CheckPoint 7: Free Body Diagrams,CheckPoint problem,Identify the correct FBD foræsimple pendulum,FNLTension,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___19___MIT/rayyan/check_points/BK/BK5.problem____0
Normal Force.. or not?,CheckPoint problem,Evaluate statements about the correct definition of the normal force,FNLNormal,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___17___gwu/rteodore/Raluca_s_Test_Course/Phys1_Spring2007/Warmups/Warmup2b/NormalForceDefinition.problem____0
Checkpoint 1: Elevator,CheckPoint problem,Identify the correct T(t) graph for an object hanging in a moving elevator,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___8___MIT/rayyan/osu/05_Force and Motion I/elevator/elevator.problem____0
Checkpoint 2: Elevator,CheckPoint problem,Identify the correct W(t) graph foræa student standing on a scale in aæmoving elevator,FNLNormal,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___9___MIT/rayyan/osu/05_Force and Motion I/elevator/elevator_1.problem____0
Checkpoint 3: Elevator,CheckPoint problem,Identifyæthe minimum scale reading during an elevator trip,FNLNormal,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___10___MIT/rayyan/osu/05_Force and Motion I/elevator/elevator_2.problem____0
CheckPoint 4: Free Body Diagrams,CheckPoint problem,Identify the correct FBD for a block sliding down an incline with constant velocity,FNLNormal,FNLweight,FNLkinfric,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___18___MIT/rayyan/check_points/BK/BK20.problem____0
CheckPoint 5 : Free Body Diagrams,CheckPoint problem,Identify the correct FBD for a block pushed up along a frictionless incline,FNLNormal,FNLweight,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___19___MIT/rayyan/check_points/BK/BK3.problem____0
CheckPoint 6: Weight in Elevator,CheckPoint problem,Identify the correct reading of a scale in a moving elevator,FNLNormal,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___20___MIT/rayyan/check_points/BK/BK24.problem____0
Checkpoint 1: Kinetic Friction,CheckPoint problem,Identify the correct acceleration of a car when the driver brakes,FNLkinfric,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___5___MIT/rayyan/osu/06_Force and Motion II/friction/friction.problem____0
Checkpoint 2: Kinetic Friction,CheckPoint problem,Compare the accelerationsæof cars of different masses,FNLkinfric,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___6___MIT/rayyan/osu/06_Force and Motion II/friction/friction_1.problem____0
Checkpoint 3: Kinetic Friction,CheckPoint problem,Compare the stopping distancesæof cars of different masses,FNLkinfric,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___7___MIT/rayyan/osu/06_Force and Motion II/friction/friction_2.problem____0
CheckPoint 4 :Properties of Kinetic Friction,CheckPoint problem,Evaluate statements about the kinetic friction force,FNLkinfric,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___8___gwu/rteodore/Raluca_s_Test_Course/Phys1_Spring2007/Warmups/Warmup2b/FrictionForceDefinition.problem____0
Video Tutorial: Which will slide first?,Video problem,Compare how fast will slide blocks of different masses and made from different materials,FNLstatfric,,,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___10___MIT/analiab/Problems/static_friction_blocks_incline_question.problem____16
Video Tutorial: Which will slide first?,Video problem,Compare how fast will slide blocks of different masses and made from different materials,FNLstatfric,,,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___10___MIT/analiab/Problems/static_friction_blocks_incline_question.problem____17
Video Tutorial: Which will slide first?,Video problem,Compare how fast will slide blocks of different masses and made from different materials,FNLstatfric,,,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___10___MIT/analiab/Problems/static_friction_blocks_incline_question.problem____18
Video Tutorial: a Block on an inclined plane,Video problem,Calculate the normal force on a block at rest on an inclined plane with friction,FNLNormal,FNLstatfric,N2Lapply,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___8___MIT/analiab/Problems/a_block_on_an_incline_plane.problem____11
Video Tutorial: a Block on an inclined plane,Video problem,Calculate the friction force on a block at rest on an inclined plane,FNLstatfric,FNLNormal,N2Lapply,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___8___MIT/analiab/Problems/a_block_on_an_incline_plane.problem____13
Video Tutorial: a Block on an inclined plane,Video problem,Calculate the angle at which a block will start to slide,FNLstatfric,FNLNormal,N2Lapply,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___8___MIT/analiab/Problems/a_block_on_an_incline_plane.problem____15
Video Tutorial: a Block on an inclined plane,Video problem,Calculate the acceleration of a block sliding down on an inclined plane with friction,N2Lapply,FNLstatfric,FNLNormal,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___8___MIT/analiab/Problems/a_block_on_an_incline_plane.problem____17
CheckPoint :Book held in place on a wall,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096590.sequence___11___msu/kortemey/physicslib/force/bookwall.problem____12
CheckPoint :Book held in place on a wall,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096590.sequence___11___msu/kortemey/physicslib/force/bookwall.problem____14
CheckPoint :Book held in place on a wall,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096590.sequence___11___msu/kortemey/physicslib/force/bookwall.problem____16
CheckPoint 1: Accelerating Block,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___3___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob10.problem____0
CheckPoint 1: Accelerating Block,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097069.sequence___10___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob10.problem____0
Spring Scale,Level 1 problem,"Find the streched length of a springæ knowing k, L0, m.",FNLHooke,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___4___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob92.problem____0
Pull right .. Pull left,Level 1 problem,,,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___5___gwu/fxlee/Phys21 Conceptual/Set6-5.problem____0
Too much tension,Level 1 problem,,,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___6___MIT/GWUproblems/Physics 1 - GWU-Produced/Homework/Set 03 - Problem 04.problem____0
Sliding down an incline with constant velocity,Level 1 problem,"Evaluate statements about theænormal, weight, friction for an object moving uniformly on an inclined plane.",FNLfbd,FNLNormal,FNLkinfric,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___7___msu/kortemey/physicslib/force/downslide.problem____0
Is it net force?,Level 1 problem,Evaluate statements about net force.,FNLfbd,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___8___gwu/rteodore/Raluca_s_Test_Course/Phys1_Spring2007/Warmups/Warmup2b/NetForceDefinition.problem____0
 Blocks and Pulleys,Level 1 problem,Evaluate statements about three objects connected by pulleys - two objects moving on the horizontal plane & the third one on the vertical plane.,FNLfbd,FNLTension,,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___10___MIT/rayyan/check_points/BK/BK28.problem____17
 Blocks and Pulleys,Level 1 problem,Evaluate statements about three objects connected by pulleys - two objects moving on the horizontal plane & the third one on the vertical plane.,FNLfbd,FNLTension,,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___10___MIT/rayyan/check_points/BK/BK28.problem____18
 Blocks and Pulleys,Level 1 problem,Evaluate statements about three objects connected by pulleys - two objects moving on the horizontal plane & the third one on the vertical plane.,FNLfbd,FNLTension,,,,,,,,,,,,,,,,Level 1 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096664.sequence___10___MIT/rayyan/check_points/BK/BK28.problem____19
Down the incline,Level 2 problem,"Evaluate statements about normal, friction, weight for an object that is accelerating down on an inclined plane.",N2Lapply,FNLNormal,FNLkinfric,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___3___MIT/GWUproblems/Physics_1_Checkups/Checkup02_concept04.problem____0
Elevator Up.. Elevator Down,Level 2 problem,Evaluate statements about the tension in the string for an elevator slowing down or speeding up while moving up or down.,N2Lapply,FNLTension,,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___4___MIT/GWUproblems/Physics_1_Checkups/Checkup02_concept01.problem____0
Push,Level 2 problem,"Evaluate statements about the friction, the normal and the weight for an object acted upon by a force F and moving on a horizontal plane.",N2Lapply,FNLkinfric,FNLNormal,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___5___MIT/GWUproblems/HTW_exams/exam1_con04.problem____0
Hanging Men,Level 2 problem,Calculate the tension in the upper rope when two men are hanging and the system is accelerating upwards,N2Lapply,FNLTension,,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___6___MIT/rayyan/osu/05_Force and Motion I/hanging/hanging_3.problem____0
3 Blocks and a Pulley,Level 2 problem,"Two stacked blocks (moving horizontally) are connected with a third one (moving vertically) through a pulley. Find masses, forces and accelerations for different types of motion.",N2Lapply,FNLTension,FNLkinfric,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___7___MIT/analiab/Problems/3_blocks_and_1_pulley.problem____11
3 Blocks and a Pulley,Level 2 problem,"Two stacked blocks (moving horizontally) are connected with a third one (moving vertically) through a pulley. Find masses, forces and accelerations for different types of motion.",N2Lapply,FNLTension,FNLkinfric,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___7___MIT/analiab/Problems/3_blocks_and_1_pulley.problem____13
Block on inclines,Level 2 problem,Compare scenariosæthat featureætwo blocks on a inclined plane.,N2Lapply,FNLkinfric,FNLNormal,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___8___msu/kortemey/physicslib/force/inclines.problem____12
Block on inclines,Level 2 problem,Compare scenariosæthat featureætwo blocks on a inclined plane.,N2Lapply,FNLkinfric,FNLNormal,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___8___msu/kortemey/physicslib/force/inclines.problem____15
Block on inclines,Level 2 problem,Compare scenariosæthat featureætwo blocks on a inclined plane.,N2Lapply,FNLkinfric,FNLNormal,,,,,,,,,,,,,,,Level 2 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096670.sequence___8___msu/kortemey/physicslib/force/inclines.problem____18
Pulley Platform,Level 3 problem,Calculate the acceleration of a planck lifted up by two people standing on it.,N2Lapply,FNLTension,,,,,,,,,,,,,,,,Level 3 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096675.sequence___7___MIT/rayyan/Physics801/Forces/Pulley Platform.problem____0
Spring Constants,Level 3 problem,Calculate the effective spring constant for ensembles of two springs and pulley.,FNLHooke,N2Lapply,,,,,,,,,,,,,,,,Level 3 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096675.sequence___8___MIT/rayyan/Physics801/Forces/Spring Constant.problem____0
Pulling Large Crate,Level 3 problem,Calculate the angle at which a rope that pulls a crate at an angle might break.,N2Lapply,FNLTension,,,,,,,,,,,,,,,,Level 3 problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096675.sequence___9___msu/physicslib/msuphysicslib/11_Force_Motion_Adv/msu-prob06.problem____0
Check Point 1: Contact,unknown problem,Identify the external and internal interactions for a system of two objects in contact,FNL3system&forces,,,,,,,,,,,,,,,,,unknown problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097009.sequence___13___MIT/RELATE/Unit_1_SIM_Problems/u1_m12_l1_p3.problem____0
CheckPoint 2: More Contact,CheckPoint problem, Identify the external and internal interactions for a system of two objects in contact treated as a single particle,FNL3system&forces,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097009.sequence___11___MIT/RELATE/Unit_1_SIM_Problems/u1_m12_l1_p4.problem____0
CheckPoint 3: Follow the rope,CheckPoint problem,Three objects connected by ropes. Identify the external forces for different systems,FNL3system&forces,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097009.sequence___12___MIT/RELATE/Unit_1_SIM_Problems/u1_m12_l1_p6.problem____0
Checkpoint 1: Pushing Books,CheckPoint problem,Compare the magnitude of the contact forces for two blocks in contact pushed by an horizontal force,FNL3system&forces,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___6___MIT/rayyan/osu/05_Force and Motion I/forces_1/forces_8.problem____0
Checkpoint 2: Pushing Books,CheckPoint problem,Compare the magnitude of the contact force and the applied force for two blocks in contact pushed by an horizontal force,FNL3system&forces,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___7___MIT/rayyan/osu/05_Force and Motion I/forces_1/forces_9.problem____0
Checkpoint 3: Pushing Books,CheckPoint problem,Compare the magnitude of the contact forces between the first two blocks and the last two blocks when eight blocks in contact pushed by an horizontal force,FNL3system&forces,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___5___MIT/rayyan/osu/05_Force and Motion I/forces_1/forces_10.problem____0
CheckPoint 4: Blocks and ropes,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___10___MIT/rayyan/check_points/BK/BK30.problem____17
CheckPoint 4: Blocks and ropes,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___10___MIT/rayyan/check_points/BK/BK30.problem____18
CheckPoint 4: Blocks and ropes,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___10___MIT/rayyan/check_points/BK/BK30.problem____19
CheckPoint 4: Blocks and ropes,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___10___MIT/rayyan/check_points/BK/BK30.problem____20
CheckPoint 4: Blocks and ropes,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 3,uploaded/MIT/31322809404324fcfMITl1/default_1323097040.sequence___10___MIT/rayyan/check_points/BK/BK30.problem____21